ID,SECTION,LINENO,ANYMORE,RELAT,NODE_GENDER,LIVEWITH,NODE_AGE,NODE_AGEDK,TALKFREQ0,TALKFREQ1,TALKFREQ2,TALKFREQ3,TALKFREQ4,TALKFREQ5,TALKFREQ6,TALKFREQ7,HOWCLOSE,HEALTHTALK,SPCURRENT
"100005",1,1,1,6,1,0,-3,-3,8,-3,8,8,5,6,-3,0,4,3,0
"100005",1,2,1,1,1,1,73,-3,8,8,-3,7,6,0,-3,0,2,3,1
"100005",1,3,1,6,2,0,-3,-3,8,8,7,-3,4,3,-3,5,3,3,0
"100005",1,4,1,4,2,0,-3,-3,6,5,6,4,-3,1,-3,0,3,3,0
"100005",1,5,1,2,1,0,-3,-3,6,6,0,3,1,-3,-3,0,2,2,0
"100005",3,7,-3,13,2,0,-3,-3,7,0,0,5,0,0,-3,-3,2,2,0
"100033",1,1,1,6,2,0,-3,-3,8,-3,-2,-2,4,-3,-3,-3,4,3,0
"100033",1,2,1,6,2,0,-3,-3,8,-2,-3,-2,4,-3,-3,-3,4,3,0
"100033",1,3,1,6,2,0,-3,-3,5,-2,-2,-3,1,-3,-3,-3,2,3,0
"100033",1,4,0,11,2,0,-3,-3,7,4,4,1,-3,-3,-3,-3,3,3,0
"100033",4,8,0,9,1,1,22,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100080",1,1,1,1,2,1,58,-3,8,-3,5,4,5,-3,-3,2,4,3,1
"100080",1,2,1,13,2,0,-3,-3,7,5,-3,0,0,-3,-3,0,2,2,0
"100080",1,3,1,11,1,0,-3,-3,5,4,0,-3,1,-3,-3,0,2,1,0
"100080",1,4,0,11,1,0,-3,-3,5,5,0,1,-3,-3,-3,0,3,1,0
"100080",3,7,-3,11,1,0,-3,-3,3,2,0,0,0,-3,-3,-3,3,1,0
"100154",1,1,1,1,1,1,69,-3,8,-3,8,6,6,5,-3,-3,3,3,1
"100154",1,2,1,11,2,0,-3,-3,7,8,-3,0,3,0,-3,-3,3,3,0
"100154",1,3,1,6,2,0,-3,-3,7,6,0,-3,6,4,-3,-3,3,3,0
"100154",1,4,1,10,2,0,-3,-3,8,6,3,6,-3,4,-3,-3,3,3,0
"100154",1,5,0,6,1,0,-3,-3,6,5,0,4,4,-3,-3,-3,2,2,0
"100203",1,1,1,6,1,1,22,-3,7,-3,8,7,5,-3,-3,-3,3,1,0
"100203",1,2,1,6,2,1,36,-3,8,8,-3,5,5,-3,-3,-3,3,3,0
"100203",1,3,1,6,1,0,-3,-3,7,7,5,-3,4,-3,-3,-3,3,3,0
"100203",1,4,0,6,1,0,-3,-3,7,5,5,4,-3,-3,-3,-3,3,3,0
"100203",4,8,1,10,2,1,-2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100203",4,9,1,10,1,1,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100203",4,10,0,6,2,1,34,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100359",1,1,1,1,2,1,74,-3,8,-3,8,6,6,6,-3,3,3,3,1
"100359",1,2,1,6,1,0,-3,-3,6,8,-3,6,6,6,-3,2,3,2,0
"100359",1,3,1,6,1,0,-3,-3,6,6,6,-3,6,6,-3,1,3,2,0
"100359",1,4,1,6,1,0,-3,-3,6,6,6,6,-3,6,-3,1,3,2,0
"100359",1,5,0,6,1,0,-3,-3,6,6,6,6,6,-3,-3,2,3,2,0
"100359",3,7,-3,8,1,0,-3,-3,4,3,2,1,1,2,-3,-3,2,1,0
"100392",1,1,1,6,2,0,-3,-3,6,-3,8,6,6,6,-3,2,3,3,0
"100392",1,2,1,6,2,0,-3,-3,8,8,-3,6,6,6,-3,2,3,3,0
"100392",1,3,1,6,2,0,-3,-3,6,6,6,-3,6,6,-3,2,3,3,0
"100392",1,4,1,6,1,0,-3,-3,6,6,6,6,-3,6,-3,1,3,3,0
"100392",1,5,1,6,2,0,-3,-3,6,6,6,6,6,-3,-3,1,3,3,0
"100392",3,7,-3,11,1,0,-3,-3,4,2,2,2,1,1,-3,-3,2,1,0
"100476",1,1,0,1,2,1,69,-3,8,-3,-3,-3,-3,-3,-3,-3,3,3,1
"100509",1,1,1,6,2,0,-3,-3,6,-3,0,-3,-3,-3,8,-3,2,3,0
"100509",1,2,0,11,2,0,-3,-3,8,0,-3,-3,-3,-3,0,-3,2,3,0
"100509",2,6,-3,1,1,1,60,-3,8,8,0,-3,-3,-3,-3,-3,2,3,1
"100509",4,8,0,6,1,1,27,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100597",1,1,1,1,2,1,58,-3,8,-3,6,6,6,4,-3,-3,4,3,1
"100597",1,2,1,6,2,0,-3,-3,6,6,-3,8,8,3,-3,-3,4,3,0
"100597",1,3,1,6,1,0,-3,-3,6,6,8,-3,8,3,-3,-3,4,2,0
"100597",1,4,1,6,2,0,-3,-3,6,6,8,8,-3,3,-3,-3,4,3,0
"100597",1,5,0,8,2,0,-3,-3,6,4,3,3,3,-3,-3,-3,4,3,0
"100623",1,1,1,11,2,0,-3,-3,8,-3,8,-3,-3,-3,-3,-3,4,3,0
"100623",1,2,0,8,2,0,-3,-3,8,8,-3,-3,-3,-3,-3,-3,4,3,0
"100634",1,1,1,1,1,1,68,-3,8,-3,5,3,6,5,-3,4,4,3,1
"100634",1,2,1,10,2,0,-3,-3,6,5,-3,1,0,0,-3,2,3,2,0
"100634",1,3,1,13,2,0,-3,-3,7,3,1,-3,0,0,-3,1,2,2,0
"100634",1,4,1,11,2,0,-3,-3,6,6,0,0,-3,6,-3,1,2,1,0
"100634",1,5,0,11,2,0,-3,-3,6,5,0,0,6,-3,-3,1,2,2,0
"100634",3,7,-3,8,1,0,-3,-3,5,4,2,1,1,1,-3,-3,3,3,0
"100652",1,1,1,1,2,1,55,-3,8,-3,2,0,-3,-3,-3,4,4,3,1
"100652",1,2,1,11,1,0,-3,-3,8,2,-3,8,-3,-3,-3,0,2,2,0
"100652",1,3,0,11,1,0,-3,-3,8,0,8,-3,-3,-3,-3,0,1,2,0
"100652",3,7,-3,11,1,0,-3,-3,4,4,0,0,-3,-3,-3,-3,3,2,0
"100681",1,1,1,11,2,0,-3,-3,7,-3,0,0,0,6,-3,0,2,2,0
"100681",1,2,1,11,1,0,-3,-3,6,0,-3,8,3,6,-3,3,3,3,0
"100681",1,3,1,11,2,0,-3,-3,6,0,8,-3,3,7,-3,3,2,2,0
"100681",1,4,1,6,1,0,-3,-3,7,0,3,3,-3,7,-3,5,3,3,0
"100681",1,5,0,1,2,1,70,-3,8,6,6,7,7,-3,-3,7,4,3,1
"100681",3,7,-3,6,1,0,-3,-3,7,0,3,3,5,7,-3,-3,3,3,0
"100699",1,1,1,6,1,0,-3,-3,8,-3,3,5,5,1,-3,-3,3,3,0
"100699",1,2,1,8,2,0,-3,-3,4,3,-3,5,5,1,-3,-3,2,2,0
"100699",1,3,1,6,2,0,-3,-3,7,5,5,-3,5,1,-3,-3,3,3,0
"100699",1,4,1,6,2,0,-3,-3,6,5,5,5,-3,1,-3,-3,3,3,0
"100699",1,5,0,11,2,0,-3,-3,8,1,1,1,1,-3,-3,-3,2,2,0
"100718",4,8,0,9,1,1,29,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100739",1,1,1,8,2,0,-3,-3,8,-3,5,6,8,6,-3,4,3,2,0
"100739",1,2,1,9,2,0,-3,-3,6,5,-3,8,1,4,-3,4,2,2,0
"100739",1,3,1,12,2,0,-3,-3,8,6,8,-3,5,5,-3,4,3,3,0
"100739",1,4,1,11,2,0,-3,-3,8,8,1,5,-3,6,-3,4,3,3,0
"100739",1,5,0,9,2,0,-3,-3,7,6,4,5,6,-3,-3,8,3,3,0
"100739",3,7,-3,9,2,0,-3,-3,7,4,4,4,4,8,-3,-3,3,3,0
"100739",4,8,1,6,2,1,42,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100739",4,9,0,6,1,1,35,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100787",1,1,1,1,2,1,59,-3,8,-3,0,5,0,5,-3,3,4,3,1
"100787",1,2,1,13,1,0,-3,-3,8,0,-3,0,7,0,-3,0,2,2,0
"100787",1,3,1,11,1,0,-3,-3,5,5,0,-3,0,0,-3,0,2,2,0
"100787",1,4,1,13,1,0,-3,-3,8,0,7,0,-3,0,-3,0,2,3,0
"100787",1,5,0,10,1,0,-3,-3,5,5,0,0,0,-3,-3,0,3,3,0
"100787",3,7,-3,11,1,0,-3,-3,3,3,0,0,0,0,-3,-3,4,2,0
"100804",1,1,0,6,1,0,-3,-3,7,-3,-3,-3,-3,-3,-3,-3,3,3,0
"100858",1,1,1,1,1,1,83,-3,8,-3,4,7,4,4,-3,4,3,3,1
"100858",1,2,1,8,2,0,-3,-3,4,4,-3,3,4,2,-3,0,3,3,0
"100858",1,3,1,6,1,0,-3,-3,7,7,3,-3,4,4,-3,7,3,3,0
"100858",1,4,1,6,1,0,-3,-3,4,4,4,4,-3,7,-3,2,3,3,0
"100858",1,5,0,6,2,0,-3,-3,4,4,2,4,7,-3,-3,1,3,3,0
"100858",3,7,-3,11,2,0,-3,-3,4,4,0,7,2,1,-3,-3,2,3,0
"100862",1,1,1,6,2,0,-3,-3,8,-3,3,8,8,-3,7,-3,3,3,0
"100862",1,2,1,6,1,0,-3,-3,7,3,-3,1,3,-3,4,-3,3,2,0
"100862",1,3,1,9,2,0,-3,-3,5,8,1,-3,7,-3,4,-3,2,3,0
"100862",1,4,0,9,2,0,-3,-3,6,8,3,7,-3,-3,8,-3,3,1,0
"100862",2,6,-3,3,1,1,69,-3,8,7,4,4,8,-3,-3,-3,4,3,1
"100917",1,1,0,8,2,0,-3,-3,8,-3,-3,-3,-3,-3,7,-3,4,3,0
"100917",2,6,-3,3,1,0,-3,-3,8,7,-3,-3,-3,-3,-3,-3,4,3,1
"100917",4,8,1,6,1,1,41,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100917",4,9,0,9,2,1,8,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"100964",1,1,1,6,1,0,-3,-3,7,-3,8,3,1,2,-3,-3,3,3,0
"100964",1,2,1,10,2,0,-3,-3,7,8,-3,2,1,1,-3,-3,3,3,0
"100964",1,3,1,6,2,0,-3,-3,8,3,2,-3,1,2,-3,-3,3,3,0
"100964",1,4,1,11,2,0,-3,-3,7,1,1,1,-3,6,-3,-3,3,2,0
"100964",1,5,0,11,2,0,-3,-3,7,2,1,2,6,-3,-3,-3,3,2,0
"100986",1,1,1,11,2,0,-3,-3,7,-3,3,3,0,-3,5,2,3,3,0
"100986",1,2,1,11,2,0,-3,-3,7,3,-3,3,4,-3,7,0,3,3,0
"100986",1,3,1,11,2,0,-3,-3,6,3,3,-3,0,-3,4,0,3,3,0
